Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
hello1,Chrome 102.0.5005.115,,,2022-06-27 23:09:34,2022-06-27 23:12:28,2m - 54.354s,PASSED
,,,,,,,
Test Cases/hello1,Chrome 102.0.5005.115,,,2022-06-27 23:09:41,2022-06-27 23:12:28,2m - 47.136s,PASSED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-06-27 23:09:47,2022-06-27 23:11:37,1m - 49.742s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 102.0.5005.115,,,2022-06-27 23:11:37,2022-06-27 23:11:51,14.767s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), ""Admin"")",Chrome 102.0.5005.115,,,2022-06-27 23:11:51,2022-06-27 23:12:02,10.932s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 102.0.5005.115,,,2022-06-27 23:12:02,2022-06-27 23:12:06,3.951s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 102.0.5005.115,,,2022-06-27 23:12:06,2022-06-27 23:12:22,16.166s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/h1_Dashboard""), ""Dashboard"")",Chrome 102.0.5005.115,,,2022-06-27 23:12:22,2022-06-27 23:12:28,5.842s,PASSED
